question,option_a,option_b,option_c,option_d,correct_option
The Decree that brought FAAN into existence is called?,1994 Decree 45 offshoot of 1976,Amended Decree no 44 of 1970,Amendment Act 5 of 1994 offshoot of decree 9 1992,Cap F5 Laws of the Federation of Nigeria 2004,option_d
What is the Vision Statement of FAAN?,To be amongst the best airport groups in the world,To be the number airport managers in ICAO teams,To lead in the aviation industry in Africa,To demonstrate leadership in airport operation,option_a
What is the Mission Statement of FAAN?,To be amongst the best airport groups in the world,To develop and profitably manage customer centric airport facilities,To ensure safe secure and efficient carriage of passenger and goods at World Class Standards of quality,b and c,option_d
One of the following is not a Directorates we have in FAAN?,Human Resources & Administration,Engineering Services,Airport Facilitation Services,Aviation Security Services,option_c
Name two Airports each from the South West region?,Benin Airport & Minna Airport,Akure Airport & SMICA Owerri,MMA Lagos & Ibadan Airport,Ilorin Airport & MEIA Calabar,option_c
Name two Airports each from the North Central region?,Kaduna International Airport & MAKIA Kano,Minna Airport & Yola Airport,Maiduguri International Airport & YGIA Jos,NAIA Abuja & Gombe Airport,option_d
The following are major sources of FAAN revenue except?,Aeronautical,Non-Aeronautical,Government Subvention/Grants,Loan from Private Companies,option_d
Two examples of Aeronautical sources of revenue include?,Aircraft Landing & Parking charges,Car Park Charges,Concession,Excursion,option_a
Examples of Non-Aeronautical sources of revenue include the following except?,Rent,Car Park Charges,Adverts,Fuel Surcharge,option_d
Authority Limit is the amount of money a Vote Controller can approve per paper for a period of time.,True,False,,,option_a
The following are Vote Controllers in FAAN except?,Airport Manager,Airport Chief of Security,Managing Director,Directors,option_b
The following include known types of Budget except?,Parliamentary Budget,Zero Based Budget,Planning Programming Budget system (PPBS),Incremental budget,option_a
What is the motto on Nigeria’s Coat of Arms?,Unity & Love Grace & Progress,Unity & Peace Love & Progress,Unity & Faith Peace & Progress,None of the above,option_c
The Committees that are in existence for the promotion appointment and discipline in FAAN include the following except?,Pensioners Committee (HQ),Senior Staff Committee (HQ),Management Staff Committee,Disciplinary Committee,option_a
One of the following is not a condition for confirmation of employees in FAAN?,Two years Probation,Report of satisfactory performance by immediate Supervisor/HOD,Satisfactory Performance Report by Airport Manager,Award of Productivity by Director,option_d
Which of the following is not a criteria for promotion in FAAN?,Ability & Competence to perform efficiently the duties and responsibilities of a higher post,Satisfactory conduct & records of performance (APPER Form),Credible success in Promotion exams/Interviews,Must have spent at least five years on previous level,option_d
Dismissal applies to pensionable officers who are guilty of a very serious misconduct WHILE Termination of Appointment is often used for officers whose appointment are still under probation or established on daily pay. The officer is entitled to one month notice or one month pay in lieu of notice.,True,False,,,option_a
The following represent states from North East Geographical zones in Nigeria?,Kano Kaduna & Kebbi,Niger Nassarawa & Plateau,Adamawa Yobe & Bauchi,None of the above,option_c
The following represent states from South East zones in Nigeria?,Akwaibom Bayelsa & Rivers,Enugu Ebonyi and Abia,Adamawa Yobe & Bauchi,Lagos Oyo & Ogun,option_b
A Scheme of Service means a scheme showing promotion status and salaries attached to each grade as a determinant entry and qualification to the service of FAAN.,True,False,,,option_b
What is the role of Management Staff Committee?,Management Staff Committee shall handle cases of officers on Grade Level 15-17 & shall be based at the HQ. Recommendations of the Committee shall be submitted to the Board for approval,Management Staff Committee shall process recruitment for staff into management level,Management Staff Committee shall process airports to be approved for FAAN management,None of the above,option_a
The disciplinary measures that can be taken against an officer found guilty of misconduct in the Public Service include the following except?,Dismissal,Deferment of Salary or Surcharge,Demotion,Transfer to another service,option_d
Which among the following is not a conditions for granting contract appointments?,Nigerian not above 50years whose service is required.,Non-Nigerian above 50years whose service is required.,Promotion,Upgrading.,option_b
The documents that a retiree needs to properly claim his/her retirement benefits include the following except?,Appointment Letter,Confirmation Letter,Evidence of Attendance to Work,Record of Service,option_c
Who are those eligible to be issued Certificate of Service?,Contract Appointees,Staff on Probation,Pensionable & Non-Pensionable officers.,None of the above,option_c
What is the meaning of APPER Form?,Annual Preview Evaluation Report,Annual Preference Evaluation Report,Annual Payroll Evaluation Report,Annual Performance Evaluation Report,option_d
The following items are listed in APPER Form except?,Personal Achievements of Officer,Target Setting,Assessment of Performance,Declaration,option_a
Complete the following Stanza of the Nigeria’s national anthem - Though Tribes and Tongues May Differ..........?,Nigeria We Hail Thee,Our Own Dear Native Land,In brotherhood We Stand,We must uphold her Honour & Glory,option_c
